FISCAL_YEAR,LOCATION_CODE,GEOGRAPHICAL_DISTRICT_CODE,LOCATION_NAME,MANAGED_BY_NAME,PRIMARY_BUILDING_CODE,PRIMARY_ADDRESS_LINE_1,STATE_CODE,LONGITUDE,LATITUDE,COMMUNITY_DISTRICT,COUNCIL_DISTRICT,CENSUS_TRACT,BOROUGH_BLOCK_LOT,NTA,NTA_NAME
2019,K109,22,P.S. 109,DOE,K395,1001 EAST  45 STREET,NY,40.635842,-73.933099,317,45,83600,3050220002,BK91,East Flatbush-Farragut
2019,K109,22,P.S. 109,DOE,K395,1001 EAST  45 STREET,NY,40.635842,-73.933099,317,45,83600,3050220002,BK91,East Flatbush-Farragut
2019,K110,14,P.S. 110 The Monitor,DOE,K110,124 MONITOR STREET,NY,40.723743,-73.941926,301,33,59100,3026880042,BK76,Greenpoint
2019,K112,20,P.S. 112 Lefferts Park,DOE,K112,7115 15 AVENUE,NY,40.619417,-74.000565,311,43,19000,3061800001,BK28,Bensonhurst West
2019,K113,13,M.S. 113 Ronald Edmonds Learning Center,DOE,K113,300 ADELPHI STREET,NY,40.688769,-73.971474,302,35,18100,3021030004,BK68,Fort Greene
2019,K114,18,P.S. 114 Ryder Elementary,DOE,K114,1077 REMSEN AVENUE,NY,40.642684,-73.90788,318,46,96400,3081600022,BK50,Canarsie
2019,K115,18,P.S. 115 Daniel Mucatel School,DOE,K115,1500 EAST  92 STREET,NY,40.634861,-73.897896,318,46,100800,3082560001,BK50,Canarsie
2019,K116,32,P.S. 116 Elizabeth L Farrell,DOE,K116,515 KNICKERBOCKER AVENUE,NY,40.698077,-73.916563,304,37,43300,3033170001,BK77,Bushwick North
2019,K118,15,The Maurice Sendak Community School,DOE,K763,211 8TH STREET,NY,40.671145,-73.987602,306,39,13700,3009980001,BK37,Park Slope-Gowanus
2019,K119,22,P.S. 119 Amersfort,DOE,K119,3829 AVENUE K,NY,40.626038,-73.938733,318,45,73400,3077860001,BK58,Flatlands
2019,K120,14,P.S. 120 Carlos Tapia,DOE,K120,18 BEAVER STREET,NY,40.700819,-73.937888,304,34,38900,3031370026,BK78,Bushwick South
2019,K121,21,P.S. 121 Nelson A. Rockefeller,DOE,K121,5301 20 AVENUE,NY,40.622671,-73.978472,312,44,46400,3054951101,BK88,Borough Park
2019,K122,17,Pathways in Technology Early College High School (,DOE,K625,150 ALBANY AVENUE,NY,40.675905,-73.939282,308,36,31100,3012160046,BK61,Crown Heights North
2019,K123,32,P.S. 123 Suydam,DOE,K123,100 IRVING AVENUE,NY,40.704076,-73.922388,304,34,44500,3032100001,BK77,Bushwick North
2019,K124,15,P.S. 124 Silas B. Dutcher,DOE,K124,515 4 AVENUE,NY,40.667464,-73.99062,306,39,14100,3010340001,BK37,Park Slope-Gowanus
2019,K125,14,Success Academy Charter School - Bed-Stuy 2,Charter,K059,211 THROOP AVENUE,NY,40.697619,-73.943279,303,36,28502,3017490001,BK35,Stuyvesant Heights
2019,K126,14,John Ericsson Middle School 126,DOE,K126,424 LEONARD STREET,NY,40.719818,-73.947932,301,33,49900,3027120001,BK76,Greenpoint
2019,K127,20,P.S. 127 Mckinley Park,DOE,K127,7805 7 AVENUE,NY,40.623687,-74.018429,310,43,20600,3059730001,BK30,Dyker Heights
2019,K128,21,P.S. 128 Bensonhurst,DOE,K128,2075 84 STREET,NY,40.60498,-73.995084,311,47,28800,3063290032,BK28,Bensonhurst West
2019,K129,15,Success Academy Charter School - Cobble Hill,Charter,K293,284 BALTIC STREET,NY,40.685006,-73.993293,306,33,6900,3004020001,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
2019,K130,15,P.S. 130 The Parkside,DOE,K130,70 OCEAN PARKWAY,NY,40.648924,-73.976053,307,39,50000,3053190001,BK40,Windsor Terrace
2019,K131,15,P.S. 131 Brooklyn,DOE,K131,4305 FT HAMILTON PARKWAY,NY,40.640728,-73.993247,312,39,22400,3056030001,BK88,Borough Park
2019,K132,14,P.S. 132 The Conselyea School,DOE,K132,320 MANHATTAN AVENUE,NY,40.714772,-73.945663,301,34,49700,3027590001,BK90,East Williamsburg
2019,K133,13,P.S. 133 William A. Butler,DOE,K317,610 BALTIC STREET,NY,40.679916,-73.980455,306,39,12901,3009400111,BK37,Park Slope-Gowanus
2019,K134,22,P.S. K134,DOE,K849,4001 18 AVENUE,NY,40.632145,-73.97318,314,44,48000,3054160048,BK42,Flatbush
2019,K135,18,P.S. 135 Sheldon A. Brookner,DOE,K135,684 LINDEN BOULEVARD,NY,40.653093,-73.932949,317,41,87000,3046730001,BK91,East Flatbush-Farragut
2019,K136,15,I.S. 136 Charles O. Dewey,DOE,K136,4004 4 AVENUE,NY,40.652127,-74.007596,307,38,8200,3007130020,BK32,Sunset Park West
2019,K137,23,P.S./I.S. 137 Rachel Jean Mitchell,DOE,K137,121 SARATOGA AVENUE,NY,40.682248,-73.916641,316,41,37300,3015100001,BK79,Ocean Hill
2019,K138,17,P.S. 138 Brooklyn,DOE,K138,760 PROSPECT PLACE,NY,40.673943,-73.951559,308,36,31701,3012330026,BK61,Crown Heights North
2019,K138,17,P.S. 138 Brooklyn,DOE,K138,760 PROSPECT PLACE,NY,40.673943,-73.951559,308,36,31701,3012330026,BK61,Crown Heights North
2019,K139,22,P.S. 139 Alexine A. Fenty,DOE,K139,330 RUGBY ROAD,NY,40.64134,-73.965862,314,40,152200,3051440064,BK42,Flatbush
2019,K140,13,P.S. K140,DOE,K258,141 MACON STREET,NY,40.68192,-73.9456,303,36,26900,3018450001,BK75,Bedford
2019,K141,17,P.S. K141,DOE,K002,655 PARKSIDE AVENUE,NY,40.656423,-73.951575,309,40,80200,3050500051,BK60,Prospect Lefferts Gardens-Wingate
2019,K145,32,P.S. 145 Andrew Jackson,DOE,K145,100 NOLL STREET,NY,40.701107,-73.932388,304,34,42500,3031530011,BK78,Bushwick South
2019,K146,15,"The Brooklyn New School, P.S. 146",DOE,K142,610 HENRY STREET,NY,40.679462,-74.002022,306,39,6300,3003690001,BK33,Carroll Gardens-Columbia Street-Red Hook
2019,K147,14,P.S. 147 Isaac Remsen,DOE,K147,325 BUSHWICK AVENUE,NY,40.705005,-73.93879,301,34,48500,3030910001,BK78,Bushwick South
2019,K149,19,P.S. 149 Danny Kaye,DOE,K149,700 SUTTER AVENUE,NY,40.669361,-73.89276,305,42,115800,3037740016,BK85,East New York (Pennsylvania Ave)
2019,K150,23,P.S. 150 Christopher,DOE,K150,364 SACKMAN STREET,NY,40.668768,-73.90514,316,41,90800,3037440009,BK81,Brownsville
2019,K151,32,P.S. 151 Lyndon B. Johnson,DOE,K151,763 KNICKERBOCKER AVENUE,NY,40.693432,-73.908242,304,37,43700,3034060001,BK77,Bushwick North
2019,K152,22,School of Science & Technology,DOE,K152,725 EAST  23 STREET,NY,40.632619,-73.954269,314,45,77200,3075510026,BK42,Flatbush
2019,K152,22,School of Science & Technology,DOE,K152,725 EAST  23 STREET,NY,40.632619,-73.954269,314,45,77200,3075510026,BK42,Flatbush
2019,K153,21,P.S. 153 Homecrest,DOE,K153,1970 HOMECREST AVENUE,NY,40.601179,-73.960027,315,48,55600,3072910030,BK25,Homecrest
2019,K154,15,The Windsor Terrace School,DOE,K154,1625 11 AVENUE,NY,40.657002,-73.975967,307,39,17100,3052570001,BK40,Windsor Terrace
2019,K155,23,P.S./ I.S. 155 Nicholas Herkimer,DOE,K155,1355 HERKIMER STREET,NY,40.677634,-73.908682,316,37,36900,3015520043,BK79,Ocean Hill
2019,K156,23,P.S. 156 Waverly,DOE,K356,104 SUTTER AVENUE,NY,40.665553,-73.91788,316,41,90000,3035350016,BK81,Brownsville
2019,K157,14,P.S./I.S. 157 The Benjamin Franklin Health & Scien,DOE,K157,850 KENT AVENUE,NY,40.695397,-73.959999,303,33,123700,3018970013,BK75,Bedford
2019,K158,19,P.S. 158 Warwick,DOE,K158,400 ASHFORD STREET,NY,40.67259,-73.885214,305,37,115000,3040150001,BK82,East New York
2019,K159,19,P.S. 159 Isaac Pitkin,DOE,K159,2781 PITKIN AVENUE,NY,40.676111,-73.869705,305,42,120000,3042160001,BK82,East New York
2019,K160,20,P.S. 160 William T. Sampson,DOE,K160,5105 Fort Hamilton Parkway,NY,40.636932,-73.999045,312,44,22000,3056530021,BK88,Borough Park
2019,K161,17,P.S. 161 The Crown,DOE,K161,330 CROWN STREET,NY,40.665757,-73.949243,309,35,31900,3012970026,BK63,Crown Heights South
2019,K162,32,J.H.S. 162 The Willoughby,DOE,K162,1390 WILLOUGHBY AVENUE,NY,40.706816,-73.919643,304,34,44500,3032120001,BK77,Bushwick North
2019,K163,20,P.S. 163 Bath Beach,DOE,K807,109 BAY 14TH STREET,NY,40.606739,-74.007469,311,43,18000,3063990040,BK27,Bath Beach
2019,K164,20,P.S. 164 Caesar Rodney,DOE,K164,4211 14 AVENUE,NY,40.637101,-73.985739,312,44,23200,3056000001,BK88,Borough Park
2019,K165,23,P.S. 165 Ida Posner,DOE,K165,76 LOTT AVENUE,NY,40.657061,-73.910938,316,42,89600,3036220023,BK81,Brownsville
2019,K168,32,The Brooklyn School for Math and Research,DOE,K480,400 IRVING AVENUE,NY,40.696457,-73.911751,304,37,43500,3033650098,BK77,Bushwick North
2019,K169,15,P.S. 169 Sunset Park,DOE,K169,4305 7 AVENUE,NY,40.645825,-74.0017,307,38,9200,3007320001,BK34,Sunset Park East
